,author,language,length,link,quote,tags
191,Lisa See,en,461,https://theysaidso.com/quote/lisa-see-if-it-is-perfectly-acceptable-for-a-widow-to-disfigure-herself-or-commi,"If it is perfectly acceptable for a widow to disfigure herself or commit suicide to save face for her husband's family, why should a mother not be moved to extreme action by the loss of a child or children? We are their caretakers. We love them. We nurse them when they are sick... But no woman should live longer than her children. It is against the law of nature. If she does, why wouldn't she wish to leap from a cliff, hang from a branch, or swallow lye?","{death, family, tso-love, women}"
192,John Updike,en,127,https://theysaidso.com/quote/john-updike-women-fire-in-their-crotch-wont-burn-out-begin-by-fighting-off-prick,"Women, fire in their crotch, won't burn out, begin by fighting off pricks, end by going wild hunting for one that still works.",{women}
193,Farley Mowat,en,321,https://theysaidso.com/quote/farley-mowat-whenever-and-wherever-men-have-engaged-in-the-mindless-slaughter-of,"Whenever and wherever men have engaged in the mindless slaughter of animals (including other men), they have often attempted to justify their acts by attributing the most vicious or revolting qualities to those they would destory; and the less reason there is for the slaughter, the greater the campaign for vilification.","{animal-rights, war}"
194,Toni Morrison,en,67,https://theysaidso.com/quote/toni-morrison-she-missed-without-knowing-what-she-missed-paints-and-crayons,She missed -- without knowing what she missed-- paints and crayons,"{arts-education, culture, poverty}"
195,Tobias Wolff,en,58,https://theysaidso.com/quote/tobias-wolff-we-are-made-to-persist-thats-how-we-find-out-who-we-are,We are made to persist. That's how we find out who we are.,{}
196,Joshua Zeitz,en,648,https://theysaidso.com/quote/joshua-zeitz-a-study-of-fifty-women-conducted-in-1887-revealed-that-the-corset-f,"A study of fifty women conducted in 1887 revealed that the corset forcibly contracted their waists by anywhere between two and a half and six bodies. The pressure it applied to women's bodies averaged twenty-one pounds but could reach as high as eighty-eight pounds. Tight-lacing was thus akin to crushing oneself slowly from all sides. As a harsh critic of the corset noted, 'It is evident, physiologically, that air is the pabulum of life, and that the effects of a tight cord round the neck and of tight-lacing only differ in degree.. For the strangulations are both fatal. To wear tight stays is in many cases to wither, to waste and to die.","{corsets, flapper, freedom, restrictive, strangulation, style}"
197,Darrin Lunde,en,123,https://theysaidso.com/quote/darrin-lunde-bumblebee-bat-how-do-you-see-at-night-i-make-a-squeaky-sound-that-b,"-Bumblebee bat, how do you see at night?-I make a squeaky sound that bounces back from whatever it hits. I see by hearing.","{bats, children, echolocation}"
198,Amy Tan,en,135,https://theysaidso.com/quote/amy-tan-my-mother-said-i-was-a-clingy-kid-until-i-was-about-four-i-also-remember,My mother said I was a clingy kid until I was about four. I also remember that from the age of eight she and I fought almost every day.,{age}
199,Barack Obama,en,395,https://theysaidso.com/quote/barack-obama-the-underlying-struggle-between-worlds-of-plenty-and-worlds-of-want,"The underlying struggle - between worlds of plenty and worlds of want; between the modern and the ancient; between those who embrace our teeming, colliding, irksome diversity, while still insisting on a set of values that binds us together, and those who would seek, under whatever flag or slogan or sacred text, a certainty and simplification that justifies cruelty toward those not like us..","{civil-rights, cruelty, homosexuality, politics, religion, respect, tolerance, understanding, understanding-oneself-and-others, understanding-others}"
200,Stephen King,en,112,https://theysaidso.com/quote/stephen-king-kids-the-fiction-is-the-truth-inside-the-lie-and-the-truth-of-this,"Kids, the fiction is the truth inside the lie, and the truth of this fiction is simple enough: the magic exists.","{magic, truth}"
201,Ayn Rand,en,244,https://theysaidso.com/quote/ayn-rand-i-do-not-think-that-tragedy-is-our-natural-fate-and-i-do-not-live-in-ch,"I do not think that tragedy is our natural fate and I do not live in chronic dread of disaster. It is no happiness, but suffering that I consider unnatural. It is not success, but calamity that I regard as the abnormal exception in Human Life.","{atlas-shrugged, ayn-rand, galt, objectivism, philosophy, taggart}"
202,Joan Aiken,en,416,https://theysaidso.com/quote/joan-aiken-it-was-dusk-winter-dusk-snow-lay-white-and-shining-over-the-pleated-h,"It was dusk - winter dusk. Snow lay white and shining over the pleated hills, and icicles hung from the forest trees. Snow lay piled on the dark road across Willoughby Wold, but from dawn men had been clearing it with brooms and shovels. There were hundreds of them at work, wrapped in sacking because of the bitter cold, and keeping together in groups for fear of the wolves, grown savage and reckless from hunger.",{opening-lines}
203,Kurt Vonnegut,en,57,https://theysaidso.com/quote/kurt-vonnegut-virtually-every-writer-i-know-would-rather-be-a-musician,Virtually every writer I know would rather be a musician.,"{music, writing}"
204,Brandon Sanderson,en,66,https://theysaidso.com/quote/brandon-sanderson-and-dont-waste-time-worshipping-harmony-doing-good-the-worship,And don't waste time worshipping Harmony. Doing good the worship.,"{good-works, religion, tenets, worship}"
205,Patricia Cornwell,en,49,https://theysaidso.com/quote/patricia-cornwell-i-believe-the-root-of-all-evil-is-abuse-of-power,I believe the root of all evil is abuse of power.,{power}
206,Ishmael Beah,en,308,https://theysaidso.com/quote/ishmael-beah-every-time-people-come-at-us-with-the-intention-of-killing-us-i-clo,"Every time people come at us with the intention of killing us, I close my eyes and wait for death. Even thought I am still alive, I feel like each time I accept death, part of me dies. Very soon I will completely die and all that will be left is my empty body walking with you. It will be quieter than I am.","{death, lose-of-hope}"
207,Edwidge Danticat,en,88,https://theysaidso.com/quote/edwidge-danticat-to-start-with-for-example-this-year-2004-is-the-bicentennial-of,"To start with, for example this year, 2004, is the bicentennial of Haitian independence.","{example, independence}"
208,Nicholas D. Kristof,en,92,https://theysaidso.com/quote/nicholas-d-kristof-i-think-its-dangerous-to-be-optimistic-things-could-go-terrib,I think it's dangerous to be optimistic. Things could go terribly wrong virtually overnight.,{wrongs}
209,Daniel Ehrenhaft,en,165,https://theysaidso.com/quote/daniel-ehrenhaft-when-we-were-little-kids-friend-wasnt-a-verb-you-didnt-friend-s,"When we were little kids, 'friend' wasn't a verb. You didn't 'friend' someone. You had friends. It was only a noun. It didn't multitask. It was a simpler time, Hen.",{ya}
210,Chang-rae Lee,en,40,https://theysaidso.com/quote/chang-rae-lee-the-truth-finally-is-who-can-tell-it,"The truth, finally, is who can tell it.",{truth}
211,J. M. Coetzee,en,47,https://theysaidso.com/quote/j-m-coetzee-our-lies-reveal-as-much-about-us-as-our-truths,Our lies reveal as much about us as our truths.,{truth}
212,Mordecai Richler,en,146,https://theysaidso.com/quote/mordecai-richler-im-criticized-by-the-feminists-by-the-jewish-establishment-by-c,"I'm criticized by the feminists, by the Jewish establishment, by Canadian nationalists. And why not? I've had my pot shots at them. I'm fair game.","{game, games}"
213,Chris Riddell,en,73,https://theysaidso.com/quote/chris-riddell-when-you-meet-kids-that-are-passionate-you-know-you-are-getting-th,"When you meet kids that are passionate, you know you are getting through.",{}
214,Margo Lanagan,en,197,https://theysaidso.com/quote/margo-lanagan-it-was-one-thing-not-to-want-a-husband-i-realized-it-was-quite-ano,"It was one thing not to want a husband, I realized; it was quite another not to need one for the roof over your head, for your meat and bread, for the shoes on your feet and the coat on your back.","{husband, marriage, relationships, tso-love}"
215,Sherwin B. Nuland,en,125,https://theysaidso.com/quote/sherwin-b-nuland-the-life-sciences-contain-spiritual-values-which-can-never-be-e,The life sciences contain spiritual values which can never be explained by the materialistic attitude of present day science,"{biology, science, spirtuality}"
216,Michael D. Beil,en,148,https://theysaidso.com/quote/michael-d-beil-livvy-and-me-together-in-an-elevator-for-four-hoursand-were-good,Livvy and me together in an elevator for four hours. And we're good. To some eyes the fact that we're both alive could be viewed as a minor miracle.,{humorous}
217,William Dalrymple,en,267,https://theysaidso.com/quote/william-dalrymple-at-one-stage-when-they-stop-to-ask-directions-they-pick-up-a-l,"{At one stage, when they stop to ask directions, they pick up a local on a bike who, in true Moroccan style, turns out to be a fake guide.} He just took us to where he wanted to go and got out,.. We got back at 2.15am, not a single drink was found or taken. Hey ho.",{}
218,Craig Johnson,en,292,https://theysaidso.com/quote/craig-johnson-katrina-however-knocked-out-a-substantial-portion-of-the-nations-p,"{Katrina, however, knocked out a substantial portion of the nation's petroleum infrastructure, especially refineries that produce gasoline, when gas supplies were already stretched thin.} The larger worry may not be Katrina itself,.. But if energy prices were to continue their sharp climb.",{}
219,Rebecca Solnit,en,245,https://theysaidso.com/quote/rebecca-solnit-in-a-sense-the-car-has-become-a-prosthetic-and-though-prosthetics,"In a sense the car has become a prosthetic, and though prosthetics are usually for injured or missing limbs, the auto-prosthetic is for a conceptually impaired body or a body impaired by the creation of a world that is no longer human in scale.","{cars, page-258, walking}"
220,Rosalind Wiseman,en,95,https://theysaidso.com/quote/rosalind-wiseman-you-cant-blame-people-for-being-inconsistent-parents-if-theyre,You can't blame people for being inconsistent parents if they're receiving inconsistent advice.,{}
221,Diana Gabaldon,en,329,https://theysaidso.com/quote/diana-gabaldon-its-appearance-was-greeted-with-cries-of-rapture-and-following-a,"Its appearance was greeted with cries of rapture, and following a brief struggle over possesion of the volume, William rescued it before it should be torn to pieces, but allowed himself to be induced to read some of the passages aloud, his dramatic rendering being greeted by wolflike howls of enthusiasim and hails of live pits.",{books}
222,Yotam Ottolenghi,en,391,https://theysaidso.com/quote/yotam-ottolenghi-it-is-more-than-twenty-years-since-we-left-the-city-this-is-a-s,"It is more than twenty years since we left the city. This is a serious chunk of time, longer than the years we spent living there. Yet we still think of Jerusalem as our home. Not home in the sense of the place that you conduct your daily life or constantly return to. In fact, Jerusalem is our home almost against our wills. It is our home because it defines us, whether we like it or not.","{emigration, home, jerusalem, sami-tamimi, yotam-ottolenghi}"
223,Charlaine Harris,en,195,https://theysaidso.com/quote/charlaine-harris-i-didnt-know-what-to-think-about-first-me-seeing-claude-naked-c,"I didn't know what to think about first: me seeing Claude naked, Claude seeing me naked, or the whole fact that we were related and naked in the same room.(Sookie Stackhouse, Dead in the Family)","{charlaine-harris, dead-in-the-family, paranormal, sookie-stackhouse}"
224,John Steinbeck,en,115,https://theysaidso.com/quote/john-steinbeck-if-youre-in-trouble-or-hurt-or-need-go-to-the-poor-people-theyre,"If you're in trouble, or hurt or need - go to the poor people. They're the only ones that'll help - the only ones.",{poverty}
225,Tim Lilburn,en,149,https://theysaidso.com/quote/tim-lilburn-dry-snow-coming-down-in-the-hills-magpies-hair-triggered-and-thuggis,"Dry snow coming down in the hills. Magpies hair-triggered and thuggish in worn trees. A wall has started to fall in you, it will take years to land.",{time}
226,Conn Iggulden,en,307,https://theysaidso.com/quote/conn-iggulden-courage-cannot-be-left-like-bones-in-a-bag-it-must-be-brought-out,"Courage cannot be left like bones in a bag. It must be brought out and shown the light again and again, growing stronger each time. If you think it will keep for the times you need it, you are wrong. It is like any other part of your strength. If you ignore it, the bag will be empty when you need it most.",{courage}
227,Harry Turtledove,en,285,https://theysaidso.com/quote/harry-turtledove-that-anyone-would-want-to-be-famous-still-mystified-colin-as-tv,"That anyone would want to be famous still mystified Colin. As TV had trained him to do, he associated the word with divorces and court appearances and rehab and jail time. He knew more than he wanted about all of those except rehab, and that was the one famous people blew off anyway.",{fame}
228,Alberto Manguel,en,60,https://theysaidso.com/quote/alberto-manguel-each-book-was-a-world-unto-itself-and-in-it-i-took-refuge,"Each book was a world unto itself, and in it I took refuge.","{books, escapism, reading}"
229,Mark Haddon,en,165,https://theysaidso.com/quote/mark-haddon-on-the-fifth-day-which-was-a-sunday-it-rained-very-hard-i-like-it-wh,"On the fifth day, which was a Sunday, it rained very hard. I like it when it rains hard. It sounds like white noise everywhere, which is like silence but not empty.","{empty, perspective, rain, silence, white-noise}"
230,Dan Chaon,en,101,https://theysaidso.com/quote/dan-chaon-you-could-say-that-they-were-sweet-or-you-could-say-that-they-were-som,"You could say that they were sweet, or you could say that they were something out of a horror movie.","{horror, sweet}"
231,Lauren Kate,en,148,https://theysaidso.com/quote/lauren-kate-and-while-luce-dreamed-below-of-the-most-glorious-wings-unfurling-th,And while Luce dreamed below of the most glorious wings unfurling-the likes of which she'd never seen before-two angels in the rafters shook hands.,"{angels, fallen}"
232,Mary Balogh,en,293,https://theysaidso.com/quote/mary-balogh-and-he-knew-at-that-moment-that-love-world-never-die-that-it-would-n,"And he knew at that moment that love world never die, that it would never fade away altogether. The time might come when he would meet and marry someone else. He might even be reasonably happy. But there would always be a deep precious place in his heart that belonged to his first real love.","{happy, marry}"
233,Kelley Armstrong,en,44,https://theysaidso.com/quote/kelley-armstrong-you-forget-darlingi-the-local-psychopath,"You forget, darling.I the local psychopath.","{funny, humor}"
234,Rohinton Mistry,en,374,https://theysaidso.com/quote/rohinton-mistry-loss-is-essential-loss-is-part-and-parcel-of-that-necessary-cala,".. Loss is essential, loss is part and parcel of that necessary calamity called life. Mind you, I'm not complaining. Thanks to some inexplicable universal guiding force, it is always the worthless things we lose - slough off, like a moulting snake. Losing and losing again, is the very basis of the process, til all we are left with is the bare essence of human existence..","{a-fine-balance, loss}"
235,Carl Hiaasen,en,158,https://theysaidso.com/quote/carl-hiaasen-if-you-write-satire-the-guilty-pleasure-these-days-is-that-theres-j,"If you write satire, the guilty pleasure these days is that there's just so much material about. On the other hand, if you have a family it can be depressing.",{family}
236,Charles Stross,en,142,https://theysaidso.com/quote/charles-stross-i-was-walking-around-for-a-week-or-so-trying-to-remember-not-to-t,"I was walking around for a week or so trying to remember not to talk about it. And, you know, keeping good news to yourself isn't always easy.",{}
237,Maggie Shipstead,en,397,https://theysaidso.com/quote/maggie-shipstead-an-airplane-crossed-the-sky-and-she-imagined-its-interior-peopl,"An airplane crossed the sky, and she imagined its interior-people packed in rows like eggs in a carton, the chemical smell of the toilets, pretzels in foil pouches, cans hiss-popping open, black oval of night sky embedded in the rattling walls. How strange that something so drab, so confined, so stifling with sour exhalations and the fumes of indifferent machinery might be mistaken for a star.","{airplanes, flight, flying, stars}"
238,Tana French,en,340,https://theysaidso.com/quote/tana-french-people-need-a-moral-code-to-help-them-make-decisions-all-this-bio-yo,"People need a moral code, to help them make decisions. All this bio-yogurt virtue and financial self-righteousness are just filling the gap in the market. But the problem is that it's all backwards. It's not that you do the right thing and hope it pays off; the morally right thing is by definition the thing that gives the biggest payoff.","{morals, religion}"
239,Chinua Achebe,en,191,https://theysaidso.com/quote/chinua-achebe-the-whole-idea-of-a-stereotype-is-to-simplify-instead-of-going-thr,The whole idea of a stereotype is to simplify. Instead of going through the problem of all this great diversity - that it's this or maybe that - you have just one large statement: It is this.,"{diversity, stereotypes}"
240,Jane Smiley,en,330,https://theysaidso.com/quote/jane-smiley-i-was-depressed-but-that-was-a-side-issue-this-was-more-like-closing,"I was depressed, but that was a side issue. This was more like closing up shop, or, say, having a big garage sale, where you look at everything you've bought in your life, and you remember how much it meant to you, and now you just tag it for a quarter and watch 'em carry it off, and you don't care. That's more like how it was.","{cancer, depression}"
241,Sarah Dessen,en,112,https://theysaidso.com/quote/sarah-dessen-so-you-should-remember-that-when-youre-thinking-about-what-other-pe,"So you should remember that, when you're thinking about what other people can deal with. Maybe it's not so bad.","{experiences, life, people}"
242,William Gibson,en,144,https://theysaidso.com/quote/william-gibson-its-impossible-to-move-to-live-to-operate-at-any-level-without-le,"It's impossible to move, to live, to operate at any level without leaving traces, bits, seemingly meaningless fragments of personal information.","{information, war}"
243,Pat Barker,en,316,https://theysaidso.com/quote/pat-barker-we-are-craiglockharts-success-stories-look-at-us-we-dont-remember-we,"We are Craiglockhart's success stories. Look at us. We don't remember, we don't feel, we don't think - at least beyond the confines of what's needed to do the job. By any proper civilized standard (but what does that mean now?) we are objects of horror. But our nerves are completely steady. And we are still alive.","{hospitals, mental-illness, ptsd, trauma, war}"
244,Yoko Ogawa,en,695,https://theysaidso.com/quote/yoko-ogawa-the-pages-and-pages-of-complex-impenetrable-calculations-might-have-c,".. The pages and pages of complex, impenetrable calculations might have contained the secrets of the universe, copied out of God's notebook. In my imagination, I saw the creator of the universe sitting in some distant corner of the sky, weaving a pattern of delicate lace so fine that that even the faintest light would shine through it. The lace stretches out infinitely in every direction, billowing gently in the cosmic breeze. You want desperately to touch it, hold it up to the light, rub it against your cheek. And all we ask is to be able to re-create the pattern, weave it again with numbers, somehow, in our own language; to make the tiniest fragment our own, to bring it back to eart.",{mathematics}
245,Robert Harris,en,35,https://theysaidso.com/quote/robert-harris-people-perish-books-are-immortal,People perish. Books are immortal.,"{books, historical, literature}"
246,E. Lockhart,en,158,https://theysaidso.com/quote/e-lockhart-sometimes-its-a-good-idea-to-think-about-what-you-from-a-situation-an,"Sometimes it's a good idea to think about what you from a situation, and try to get it, rather than just blurt out the first thing that comes into your head.","{decisions, desire, ideas, impulsiveness, want}"
247,Sharon Olds,en,152,https://theysaidso.com/quote/sharon-olds-their-spirits-and-their-visions-are-embodied-in-their-craft-and-so-i,Their spirits and their visions are embodied in their craft. And so is mine. It's not Jane Saw Puff. But the clarity of Jane Saw Puff is precious to me.,{vision}
248,Jake Wizner,en,88,https://theysaidso.com/quote/jake-wizner-i-wrote-you-this-poem-because-i-was-afraid-to-come-out-and-tell-you,I wrote you this poem because i was afraid/ To come out and tell you i want to get laid.,{shakespeare}
249,Nick Hornby,en,281,https://theysaidso.com/quote/nick-hornby-i-wanted-to-make-my-life-short-and-i-was-at-a-party-in-toppers-hose,"I wanted to make my life short, and I was at a party in Toppers' Hose, and the coincidence was too much. It was like a message from God. OK, it was disappointing that all God had to say to me was, like, Jump off a roof, but I didn't blame him. What else was he supposed to tell me?","{coincidence, life}"
250,Jack Kerouac,en,48,https://theysaidso.com/quote/jack-kerouac-pain-or-love-or-danger-makes-you-real-again,Pain or love or danger makes you real again..,{life}
251,John Grisham,en,281,https://theysaidso.com/quote/john-grisham-weve-sent-130-men-to-death-row-to-be-executed-in-this-country-at-le,"We've sent 130 men to death row to be executed in this country, at least 130 that we know of, who have later have been exonerated because they were either innocent, or they were not fairly tried. That's 130 people that we've locked down on death row. And they've spent years there.","{death, men, people}"
252,Sara Paretsky,en,59,https://theysaidso.com/quote/sara-paretsky-sisters-in-crime-now-has-more-than-4000-members-worldwide,"Sisters in Crime now has more than 4,000 members worldwide.",{crime}
253,Don DeLillo,en,180,https://theysaidso.com/quote/don-delillo-its-my-contention-that-each-book-creates-its-own-structure-and-its-o,"It's my contention that each book creates its own structure and its own length. I've written three or four slim books. It may be that the next novel is a big one, but I don't know.","{books, dramatic-structure, length-of-a-novel, literature, narrative, novels, robert-mccrum, writing}"
254,Michael Pollan,en,200,https://theysaidso.com/quote/michael-pollan-in-corn-i-think-ive-found-the-key-to-the-american-food-chain-if-y,"In corn, I think I've found the key to the American food chain. If you look at a fast-food meal, a McDonald's meal, virtually all the carbon in it - and what we eat is mostly carbon - comes from corn.","{food, key}"
255,Andrew Ross Sorkin,en,396,https://theysaidso.com/quote/andrew-ross-sorkin-the-numbers-were-at-best-guesstimates-and-all-three-men-knew,"The numbers were, at best, guesstimates, and all three men knew it. The relevant figure would ultimately be the one that represented the most they could possibly ask from Congress without raising too many questions. Whatever that sum turned out to be, they knew they could count on (Interim Assistant Secretary of the Treasury) Kashkari to perform some sort of mathematical voodoo to justify it:","{ideology, politics}"
256,Ross King,en,188,https://theysaidso.com/quote/ross-king-and-as-i-surveyed-the-clutter-of-his-study-i-was-pleased-to-see-that-h,And as I surveyed the clutter of his study I was pleased to see that he was a man after my own heart. All of his money appeared to have been spent on either books or shelves to hold them.,"{books, bookshelf, reading}"
257,Wade Davis,en,115,https://theysaidso.com/quote/wade-davis-to-find-those-great-stories-of-wonder-found-within-various-cultures-t,To find those great stories of wonder found within various cultures that teach us something about human experience.,{}
258,Amy Grant,en,124,https://theysaidso.com/quote/amy-grant-more-important-than-talent-strength-or-knowledge-is-the-ability-to-lau,"More important than talent, strength, or knowledge is the ability to laugh at yourself and enjoy the pursuit of your dreams.",{}
259,Stephen Hawking,en,156,https://theysaidso.com/quote/stephen-hawking-the-life-we-have-on-earth-must-have-spontaneously-generated-itse,The life we have on Earth must have spontaneously generated itself. It must therefore be possible for life to exist spontaneously elsewhere in the universe.,{life}
260,Michelle Richmond,en,222,https://theysaidso.com/quote/michelle-richmond-its-rather-disconcerting-to-sit-around-a-table-in-a-critique-o,"It's rather disconcerting to sit around a table in a critique of someone else's work, only to realize that the antagonist in the story is none other than yourself, and no one present thinks you're a very likable character.","{character, critique, workshop, writer, writing}"
261,Gayle Forman,en,172,https://theysaidso.com/quote/gayle-forman-kaze-da-se-svijet-dijeli-na-ljude-koji-zamisljaju-svoj-sprovod-i-on,"Kaže da se svijet dijeli na ljude koji zamišljaju svoj sprovod i one koji ga ne zamišljaju, te da pametni i umjetni?ki nastrojeni ljudi spadaju u prvu kategoriju.",{life-and-death}
